team,group,elo,group_winner,top2,round_of_32,round_of_16,quarter_final,semi_final,final,champion
Sweden,F,1794.0,0.17153333333333334,0.43373333333333336,0.659,0.26943333333333336,0.12063333333333333,0.046933333333333334,0.017266666666666666,0.0059
Egypt,G,1851.0,0.1885,0.5265,0.7309666666666667,0.3265,0.14463333333333334,0.049933333333333337,0.017333333333333333,0.005666666666666667
South Korea,A,1920.0,0.19263333333333332,0.5296,0.7335333333333334,0.35473333333333334,0.1327,0.046233333333333335,0.015366666666666667,0.0051
Scotland,C,1871.0,0.10936666666666667,0.3700333333333333,0.6689333333333334,0.253,0.10043333333333333,0.03376666666666667,0.0113,0.0037
Czech Republic,A,1830.0,0.15393333333333334,0.44256666666666666,0.6657666666666666,0.2907,0.09846666666666666,0.03213333333333333,0.0103,0.0026666666666666666
Iran,G,1919.0,0.14986666666666668,0.43443333333333334,0.6690666666666667,0.2678333333333333,0.10233333333333333,0.03183333333333333,0.009233333333333333,0.0026333333333333334
Australia,D,1926.0,0.1099,0.29463333333333336,0.4824,0.1957,0.07246666666666667,0.0194,0.005333333333333333,0.0013666666666666666
DR Congo,K,1790.0,0.0607,0.21913333333333335,0.44053333333333333,0.16406666666666667,0.0495,0.015633333333333332,0.005,0.0010666666666666667
Uzbekistan,K,1836.0,0.050666666666666665,0.19556666666666667,0.39393333333333336,0.14136666666666667,0.036833333333333336,0.010433333333333333,0.0029666666666666665,0.0007666666666666667
Ghana,L,1632.0,0.0541,0.235,0.46586666666666665,0.13976666666666668,0.03746666666666667,0.009933333333333334,0.0024333333333333334,0.0007
Tunisia,F,1747.0,0.05553333333333333,0.18583333333333332,0.35336666666666666,0.09516666666666666,0.0304,0.008966666666666666,0.0023666666666666667,0.0006
Iraq,I,1787.0,0.030766666666666668,0.13056666666666666,0.26876666666666665,0.07863333333333333,0.0217,0.005633333333333333,0.0014,0.00046666666666666666
Jordan,J,1792.0,0.045766666666666664,0.18843333333333334,0.3381,0.08116666666666666,0.023866666666666668,0.0071333333333333335,0.0018333333333333333,0.0004333333333333333
Panama,L,1883.0,0.040966666666666665,0.18886666666666665,0.37283333333333335,0.0946,0.022133333333333335,0.004866666666666667,0.0014666666666666667,0.0003333333333333333
South Africa,A,1678.0,0.041933333333333336,0.17526666666666665,0.33313333333333334,0.094,0.022566666666666665,0.0043,0.0011,0.0002
Cape Verde,H,1663.0,0.0135,0.1008,0.2695666666666667,0.0515,0.010866666666666667,0.0019333333333333333,0.0003333333333333333,0.00016666666666666666
Bosnia and Herzegovina,B,1661.0,0.05243333333333333,0.20636666666666667,0.4771,0.12746666666666667,0.030966666666666667,0.006066666666666666,0.0007333333333333333,0.0001
New Zealand,G,1719.0,0.0499,0.18976666666666667,0.3512,0.09096666666666667,0.026466666666666666,0.0049,0.0011666666666666668,0.0001
Saudi Arabia,H,1698.0,0.019633333333333332,0.14173333333333332,0.35356666666666664,0.0767,0.018966666666666666,0.004266666666666667,0.0009,6.666666666666667e-05
Haiti,C,1703.0,0.010033333333333333,0.0588,0.1474,0.026933333333333333,0.0054,0.0006666666666666666,0.00016666666666666666,6.666666666666667e-05
Curaçao,E,1601.0,0.0063,0.03666666666666667,0.10083333333333333,0.0142,0.0017,0.0002666666666666667,0.00013333333333333334,3.3333333333333335e-05
Qatar,B,1570.0,0.023666666666666666,0.1135,0.26916666666666667,0.05603333333333333,0.010366666666666666,0.0012333333333333332,0.00013333333333333334,3.3333333333333335e-05
